lat,lng,Low,High
41.4167,-87.3821,"1,875","3,000"
28.7615,-81.7113,"1,875","3,000"
41.6963,-81.2372,"1,875","3,000"
39.1,-122.7534,"1,875","3,000"
47.6459,-114.0894,"1,875","3,000"
43.9901,-85.8016,"1,875","3,000"
44.0221,-97.1294,"1,875","3,000"
47.6411,-91.4458,"1,875","3,000"
42.7935,-120.3874,"1,875","3,000"
39.2025,-106.3448,"1,875","3,000"
36.3352,-89.4935,"1,875","3,000"
48.2217,-101.5418,"14,720","23,552"
31.5095,-103.1025,"14,720","23,552"
43.2001,-78.7452,"15,059","24,095"
47.2057,-119.4518,"13,875","22,200"
40.5158,-85.6547,"13,875","22,200"
42.8675,-90.7062,"13,875","22,200"
32.7389,-108.3824,"13,875","22,200"
38.6488,-84.6246,"13,875","22,200"
31.5997,-92.5595,"13,875","22,200"
34.29,-92.4237,"13,875","22,200"
39.1051,-79.1956,"13,875","22,200"
45.1719,-96.7677,"13,875","22,200"
37.5623,-101.308,"13,875","22,200"
44.4916,-119.0073,"13,875","22,200"
45.9341,-96.0122,"13,875","22,200"
36.7961,-97.7861,"13,875","22,200"
46.3583,-101.6397,"13,875","22,200"
41.915,-101.7406,"13,875","22,200"
34.6729,-120.0169,140,223
39.0907,-77.6357,"45,000","72,000"
